Resemblance : 
199707237189.json,0.0213815789474,../datasets/JSON/199707237189.json,{'rainy': True, 'dist_to_airport': 0, 'snowy': True, 'dusty': False, 'countyName': 'Broward', 'dist_to_military_base': 3, 'windy': True, 'state': 'FL', 'military_component': 'Navy Active', 'airport_type': 'heliport', 'sighted_at': '19970723', 'military_area': 0, 'population': 15}
199008266207.json,0.0213815789474,../datasets/JSON/199008266207.json,{'rainy': False, 'dist_to_airport': 0, 'snowy': False, 'dusty': False, 'countyName': 'Cambria', 'dist_to_military_base': 9, 'windy': False, 'state': 'PA', 'military_component': 'Army Guard', 'airport_type': 'heliport', 'sighted_at': '19900826', 'military_area': 313, 'population': 1}
199806307271.json,0.0213815789474,../datasets/JSON/199806307271.json,{'rainy': True, 'dist_to_airport': 0, 'snowy': True, 'dusty': False, 'countyName': 'Jackson', 'dist_to_military_base': 1, 'windy': False, 'state': 'MS', 'military_component': 'AF Guard', 'airport_type': 'heliport', 'sighted_at': '19980630', 'military_area': 1423, 'population': 1}
199306046799.json,0.0213815789474,../datasets/JSON/199306046799.json,{'rainy': True, 'dist_to_airport': 0, 'snowy': False, 'dusty': False, 'countyName': 'Oakland', 'dist_to_military_base': 0, 'windy': False, 'state': 'MI', 'military_component': 'Army Active', 'airport_type': 'heliport', 'sighted_at': '19930604', 'military_area': 2740, 'population': 11}
199705057165.json,0.0213815789474,../datasets/JSON/199705057165.json,{'rainy': True, 'dist_to_airport': 0, 'snowy': False, 'dusty': False, 'countyName': 'Austin', 'dist_to_military_base': 2, 'windy': False, 'state': 'TX', 'military_component': 'Army Guard', 'airport_type': 'heliport', 'sighted_at': '19970505', 'military_area': 4012, 'population': 0}
199005196429.json,0.0213815789474,../datasets/JSON/199005196429.json,{'rainy': False, 'dist_to_airport': 0, 'snowy': True, 'dusty': False, 'countyName': 'Los Angeles', 'dist_to_military_base': 0, 'windy': False, 'state': 'CA', 'military_component': 'AF Reserve', 'airport_type': 'heliport', 'sighted_at': '19900519', 'military_area': 589, 'population': 88}
199110286631.json,0.0213815789474,../datasets/JSON/199110286631.json,{'rainy': False, 'dist_to_airport': 0, 'snowy': False, 'dusty': False, 'countyName': 'Los Angeles', 'dist_to_military_base': 2, 'windy': True, 'state': 'CA', 'military_component': 'AF Active', 'airport_type': 'closed', 'sighted_at': '19911028', 'military_area': 679, 'population': 89}
1995081219.json,0.0213815789474,../datasets/JSON/1995081219.json,{'rainy': True, 'dist_to_airport': 0, 'snowy': True, 'dusty': False, 'countyName': 'Charlotte', 'dist_to_military_base': 18, 'windy': False, 'state': 'FL', 'military_component': 'AF Active', 'airport_type': 'heliport', 'sighted_at': '19950812', 'military_area': 11948, 'population': 1}
199908157285.json,0.0213815789474,../datasets/JSON/199908157285.json,{'rainy': True, 'dist_to_airport': 1, 'snowy': False, 'dusty': False, 'countyName': 'Chattooga', 'dist_to_military_base': 7, 'windy': False, 'state': 'GA', 'military_component': 'Army Guard', 'airport_type': 'small_airport', 'sighted_at': '19990815', 'military_area': 4004, 'population': 0}
199806207199.json,0.0213815789474,../datasets/JSON/199806207199.json,{'rainy': True, 'dist_to_airport': 0, 'snowy': True, 'dusty': False, 'countyName': 'Duval', 'dist_to_military_base': 1, 'windy': False, 'state': 'FL', 'military_component': 'MC Reserve', 'airport_type': 'heliport', 'sighted_at': '19980620', 'military_area': 1237, 'population': 7}
199608017102.json,0.0213815789474,../datasets/JSON/199608017102.json,{'rainy': True, 'dist_to_airport': 1, 'snowy': False, 'dusty': False, 'countyName': 'Niagara', 'dist_to_military_base': 9, 'windy': False, 'state': 'NY', 'military_component': 'Army Guard', 'airport_type': 'large_airport', 'sighted_at': '19960801', 'military_area': 13075, 'population': 2}
