dist_to_military_base	reported_at	weather	dist_to_airport	airport_name	longitude	county	latitude	shape	military_component	airport_type	location	duration	military_site	sighted_at	military_area
50.785960078880294	19951009	[object Object]	0.9225764256786064	University of Iowa Hospitals & Clinic Heliport	-91.5299106	[object Object]	41.6612561		Army Active	heliport	 Iowa City, IA		Rock Island Arsenal	19951009	6490725.890625
6.517560215893408	19951011	[object Object]	2.7773125028034316	Columbia St Mary's Heliport	-87.922497	[object Object]	43.0349931		AF Guard	heliport	 Milwaukee, WI	2 min.	Gen Mitchell IAP	19951010	496622.14453125
25.86284847722397	19950103	[object Object]	0.8549549439541617	Mason General Hospital Heliport	-123.1007066	[object Object]	47.2150945		Army Guard	heliport	 Shelton, WA		NG Camp Murray	19950101	2013144.9375
30.605608322313927	19950510	[object Object]	0.9620398541273556	Boone Hospital Center Heliport	-92.3337366	[object Object]	38.951883		Army Guard	heliport	 Columbia, MO	2 min.	NG TS Ike Skelton Jefferson City	19950510	3122229.02734375
10.093268705892662	19950614	[object Object]	0.2752033620166583	1001 Fourth Avenue Plaza Heliport	-122.3300624	[object Object]	47.6038321		Navy Active	heliport	 Seattle, WA		Manchester	19950611	2388195.078125
2.9278913801032305	19950419	[object Object]	0.48328251661920124	St. Luke's Hospital Heliport	-96.789821	[object Object]	46.877229		AF Guard	heliport	 Fargo, ND	2 min.	Hector IAP	19950420	2234975.21875
4.962420140443504	19950911	[object Object]	0.6145515083245412	City Hall Complex Heliport	-115.149225	[object Object]	36.1662859		AF Active	heliport	 Las Vegas, NV		Nellis  Annex	19950911	100647.76171875
7.811165202251047	19950214	[object Object]	3.336840794417255	Piac Heliport	-75.3235215	[object Object]	39.9098345		Navy Active	heliport	 Morton, WA		NSA Mechanicsburg Det Philadelphia Annex PNBC	19950115	1819000.19921875
20.64607880902118	19950915	[object Object]	1.2404444552757716	Jobe Skis Plant 1 Heliport	-122.1238767	[object Object]	47.6694141		Navy Active	heliport	 Redmond, WA	6 min.	Manchester	19950915	2388195.078125
16.62600584994889	19950220	[object Object]	1.0839514933510253	Renton Municipal Airport	-122.2034496	[object Object]	47.4799078		Navy Active	small_airport	 Renton, WA		Manchester	19940801	2388195.078125
1.9347269756541507	19950724	[object Object]	0.5339240323376291	St Johns Hospital Heliport	-89.6443688	[object Object]	39.7989763		Army Guard	heliport	 Springfield, IL	1 min.	NG Springfield (TS Camp Lincoln)	19950722	1115264.1015625
14.834026069166786	19950612	[object Object]	2.1819499042962263	Wolomolopoag STOLport	-71.1786627	[object Object]	42.1237102		Army Active	small_airport	 Sharon, MA		US Army Soldier Systems Center Natick	19950611	489183.140625
42.94916754780163	19950823	[object Object]	2.126966082495131	Merritt Field	-76.494113	[object Object]	41.4239666		Army Active	small_airport	 Laporte, WA	5 sec.	Scranton AAP	19950821	106130.9609375
25.699498531081794	19950416	[object Object]	2.5808418312096117	Tanner Medical Center Heliport	-84.9191081	[object Object]	33.732052		Army Guard	heliport	 Villa Rica, GA		General Lucius D. Clay National Guard Center	19950416	636687.01171875
38.45913565734844	19950207	[object Object]	4.0794103552910865	Willapa Harbor Heliport	-123.7329469	[object Object]	46.6864843		Army Guard	heliport	 Raymond, WA		MTA Camp Rilea	19950207	15176951.875
11.258510418110724	19951117	[object Object]	0.8029570474419783	Lucerne Medical Center Heliport	-81.3794368	[object Object]	28.5423999		Navy Active	heliport	 Orlando, FL		NSA Orlando	19951118	217717.802734375
47.579388542736986	19950611	[object Object]	4.043248652686578	White Oak Stand Airport	-81.7712324	[object Object]	36.791225		Army Guard	small_airport	 Glade Spring, VA	5 min.	NG Johnson City Gray	19950610	671956.40234375
16.149358221919996	19950514	[object Object]	2.285656404878238	Landmark Plaza Heliport	-73.8063889	[object Object]	40.8116667		MC Reserve	heliport	 Silver Beach, NY	25 min.	4th MARDIV Brooklyn	19950514	664160.2890625
3.3378612758764854	19950204	[object Object]	0.1917580736185406	Cmmc Air Ambulance Landing Site Heliport	-70.2147764	[object Object]	44.100351		Army Guard	heliport	 Lewiston, MT		NG Auburn TS	19950204	1383332.421875
91.58935967547251	19950911	[object Object]	2.8046728238414707	Pine Ridge Helistop	-81.948145	[object Object]	26.4520248		AF Active	heliport	 Fort Myers Beach, FL		Arbuckle Airfield	19950812	5974130.23632812
32.56329576936835	19951106	[object Object]	2.249590909015669	Flagler Hospital Heliport	-81.3145395	[object Object]	29.8946952		Navy Active	heliport	 St. Augustine, FL	20 sec.	NAS Jacksonville	19951106	20974223.6113281
9.51497806391902	19950628	[object Object]	1.8798142318588482	Jerry Douglass Heliport	-70.1044975	[object Object]	44.0314649		Army Guard	heliport	 Lisbon, ME		NG Auburn TS	19950628	1383332.421875
13.535888925279108	19950314	[object Object]	0.6596953192865385	Fontana Police Heliport	-117.435048	[object Object]	34.0922335		Navy Active	heliport	 Fontana, CA	5 min.	Norco	19950314	1436522.51171875
7.696459884045902	19950307	[object Object]	1.8784397134196007	P & A Deptford Heliport	-75.067394	[object Object]	39.8245583		Navy Active	heliport	 Hilltop, NJ	5 sec.	NSA Mechanicsburg Det Philadelphia Annex PNBC	19950306	1819000.19921875
21.558763105025996	19950516	[object Object]	1.0366688474622638	Lebanon Hospital Heliport	-122.9068762	[object Object]	44.5365467		Army Guard	heliport	 Lebanon, OR		NG Camp Adair Corvallis	19950506	4228533.546875
33.646760236031504	19950730	[object Object]	3.2574027348956	Flying Ridge Airstrip	-73.3086445	[object Object]	41.4134764		Army Guard	small_airport	 Newtown, CT	30 sec.	Camp Smith	19950730	11330597.90625
56.55234411093087	19950822	[object Object]	8.381561290675856	Ernest A. Love Field	-112.469518	[object Object]	34.5402813		AF Active	medium_airport	 Prescott, AZ	2 sec.	Luke Air Force Auxiliary Field  1	19950822	4439021.8828125
11.471085576999723	19950207	[object Object]	1.4176238477055243	Kimshan Ranch Airport	-122.8751712	[object Object]	47.8222945		Navy Active	small_airport	 Quilcene, WA	20 sec	Bangor WA	19950207	64159306.3203125
3.629629724275429	19950910	[object Object]	2.6302797066001298	Apex Airpark	-122.6766317	[object Object]	47.6594091		Navy Active	small_airport	 Silverdale, WA	2 sec.	Bangor WA	19950909	64159306.3203125
129.20109847621745	19950328	[object Object]	1.0843583405585313	Cordova Municipal Airport	-145.7589103	[object Object]	60.5439444		AF Active	small_airport	 Cordova, AK	15 min	Haarp Research Station	19950328	101921288.15625
17.97813104687834	19950404	[object Object]	1.1951443588757342	Folsom Airport	-74.8426653	[object Object]	39.6020608		AF Guard	small_airport	 Folsom, NJ		Atlantic City IAP	19950404	2011949.15234375
22.70303181716563	19950302	[object Object]	0.659857169563283	Rockingham Memorial Hospital Heliport	-78.8688833	[object Object]	38.4493315		Navy Active	heliport	 Harrisonburg, VA		NIOC Sugar Grove	19950228	3137616.30859375
5.471062037246139	19950222	[object Object]	1.1368858379586093	Pearson Field	-122.6744557	[object Object]	45.6306954		AF Guard	small_airport	 Vancouver, WA	4 sec.	Portland IAP	19950222	2143546.1953125
30.52551710661181	19950914	[object Object]	1.9502676078346561	North Haven Heliport	-72.859545	[object Object]	41.3909305		Army Guard	heliport	 North Haven, CT	5 min.	Stones Ranch Military Reservation	19950912	13397766.671875
6.00649204725931	19950825	[object Object]	0.8246279561681215	Battle Creek Health System Helistop	-85.1824269	[object Object]	42.3192548		Army Guard	heliport	 Battle Creek, MI		CTC Fort Custer Trng Center	19950824	55535791.703125
5.136540546016727	19950130	[object Object]	0.5481451363459424	Jacksonville Pre-Trial Detention Facility Heliport	-81.655651	[object Object]	30.3321838		MC Reserve	heliport	 Jacksonville, FL	90 sec.	4th MARDIV Jacksonville Maint	19950130	618548.017578125
3.8926239486240157	19950829	[object Object]	0.5162289450832255	St Luke's Boise Medical Center Heliport	-116.200835	[object Object]	43.61656		AF Guard	heliport	 Boise, ID	1 sec.	Boise Air Terminal (ANG)	19950829	4528267.0078125
12.770668140749068	19950122	[object Object]	2.7731198082133424	Kenner Farm Airport	-83.7766182647638	[object Object]	35.881048		AF Guard	small_airport	 Seymour, TN	3 min.	McGhee Tyson Airport	19950121	2236667.9296875
16.549725487728953	19951024	[object Object]	4.009229782328405	Med West-Hoover Heliport	-86.91720475	[object Object]	33.3823635		AF Guard	heliport	 Bessemer, AL	15 min.	Birmingham Airport	19951022	1470464.41015625
