id	objects
85713	['obelisk', 'lakeside, lakeshore', 'pier', 'suspension bridge', 'breakwater, groin, groyne, mole, bulwark, seawall, jetty']
85710	['volcano', 'traffic light, traffic signal, stoplight', 'nematode, nematode worm, roundworm', 'cinema, movie theater, movie theatre, movie house, picture palace', 'beacon, lighthouse, beacon light, pharos']
80949	['face powder', 'gong, tam-tam', 'nail', 'dough', 'weasel', 'spotlight, spot', 'car mirror', 'pool table, billiard table, snooker table', 'wok', 'chime, bell, gong', 'frying pan, frypan, skillet', 'bubble', 'ping-pong ball', 'axolotl, mud puppy, Ambystoma mexicanum', 'nematode, nematode worm, roundworm', 'steel drum', 'tiger shark, Galeocerdo cuvieri', 'sturgeon', 'candle, taper, wax light', 'jellyfish', 'leatherback turtle, leatherback, leathery turtle, Dermochelys coriacea', 'golf ball', 'eel', 'electric ray, crampfish, numbfish, torpedo', 'drum, membranophone, tympan']
70369	['sandbar, sand bar', 'balloon', 'beacon, lighthouse, beacon light, pharos', 'rapeseed', 'lakeside, lakeshore']
84622	['geyser', 'lakeside, lakeshore', 'balloon', 'breakwater, groin, groyne, mole, bulwark, seawall, jetty', 'parachute, chute', 'hay', 'pole', 'fountain', 'rapeseed', 'spotlight, spot', 'flagpole, flagstaff', 'volcano', 'wing', 'fireboat']
85718	['parachute, chute', 'jellyfish', 'great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias', 'kite', 'airship, dirigible']
90788	['geyser', 'beacon, lighthouse, beacon light, pharos', 'yurt', 'marmot', 'ram, tup', 'airship, dirigible', 'parachute, chute', 'radio telescope, radio reflector', 'bison', 'llama', 'flagpole, flagstaff', 'volcano', 'valley, vale', 'alp']
88128	['space shuttle', 'web site, website, internet site, site', 'parachute, chute', 'traffic light, traffic signal, stoplight', 'volcano', 'wing']
83930	['megalith, megalithic structure', 'tick', 'geyser', 'weasel', 'kite', 'Arctic fox, white fox, Alopex lagopus', 'obelisk', 'vulture', 'airship, dirigible', 'parachute, chute', 'hay', 'rapeseed', 'Samoyed, Samoyede', 'warplane, military plane', 'ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus']
83931	['cliff dwelling', 'nail', 'platypus, duckbill, duckbilled platypus, duck-billed platypus, Ornithorhynchus anatinus', 'cliff, drop, drop-off', 'projectile, missile', 'letter opener, paper knife, paperknife', 'airliner', 'airship, dirigible', 'thatch, thatched roof', 'worm fence, snake fence, snake-rail fence, Virginia fence', 'freight car', 'dam, dike, dyke', 'promontory, headland, head, foreland', 'nematode, nematode worm, roundworm', 'matchstick', 'valley, vale', 'alp']
83933	['parachute, chute', 'projectile, missile', 'screw', 'nail', 'airliner', 'missile', 'space shuttle', 'flagpole, flagstaff', 'warplane, military plane', 'wing']
78855	['screw', 'chambered nautilus, pearly nautilus, nautilus', 'nematode, nematode worm, roundworm', 'projector', 'Petri dish', 'traffic light, traffic signal, stoplight', 'fountain', 'spotlight, spot', 'prison, prison house', 'bobsled, bobsleigh, bob', 'tick']
88710	['jeep, landrover', 'geyser', 'velvet', 'breastplate, aegis, egis', 'trilobite', 'minivan', 'coral reef', 'beach wagon, station wagon, wagon, estate car, beach waggon, station waggon, waggon', 'plastic bag', 'car wheel', 'cab, hack, taxi, taxicab', 'volcano', 'nematode, nematode worm, roundworm', 'valley, vale', 'cuirass']
81408	['grey fox, gray fox, Urocyon cinereoargenteus', 'platypus, duckbill, duckbilled platypus, duck-billed platypus, Ornithorhynchus anatinus', 'chiton, coat-of-mail shell, sea cradle, polyplacophore', 'nematode, nematode worm, roundworm', 'coral reef', 'indri, indris, Indri indri, Indri brevicaudatus', 'hen-of-the-woods, hen of the woods, Polyporus frondosus, Grifola frondosa', 'mouse, computer mouse', 'spotlight, spot', 'lampshade, lamp shade', 'sea cucumber, holothurian', 'candle, taper, wax light', 'flatworm, platyhelminth', 'badger']
86156	['space shuttle', 'geyser', 'projector', 'suspension bridge', 'flagpole, flagstaff', 'pole', "spider web, spider's web", 'parachute, chute', 'traffic light, traffic signal, stoplight', 'fountain', 'spotlight, spot', 'strainer', 'wing', 'fireboat']
84918	['hay', 'balloon', 'bubble', 'megalith, megalithic structure']
83441	['geyser', 'fountain', 'spotlight, spot']
83175	['screw', 'geyser', 'nematode, nematode worm, roundworm', 'kite', 'obelisk', 'vulture', 'airship, dirigible', 'parachute, chute', 'dugong, Dugong dugon', 'albatross, mollymawk', 'killer whale, killer, orca, grampus, sea wolf, Orcinus orca', 'flagpole, flagstaff', 'grey whale, gray whale, devilfish, Eschrichtius gibbosus, Eschrichtius robustus', 'great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias']
83525	['parachute, chute', 'balloon', 'geyser', 'airship, dirigible', 'wing']
83524	['suspension bridge', 'spotlight, spot', 'pole', 'traffic light, traffic signal, stoplight', 'fountain', 'flagpole, flagstaff', 'bubble']
83831	['volcano', 'yurt', 'hook, claw', 'lakeside, lakeshore', 'horizontal bar, high bar', 'airship, dirigible', 'thatch, thatched roof', 'parachute, chute', 'traffic light, traffic signal, stoplight', 'swing', 'chime, bell, gong', 'crane', 'balloon', 'alp', 'barn']
83522	['suspension bridge', 'spotlight, spot', 'traffic light, traffic signal, stoplight', 'fountain', 'flagpole, flagstaff', 'bubble']
87284	['geyser', 'obelisk', 'fountain', 'castle', 'alp', 'church, church building']
81529	['warplane, military plane', 'projectile, missile', 'wing', 'airship, dirigible', 'missile']
83134	['geyser', 'colobus, colobus monkey', 'obelisk', 'vulture', 'spider monkey, Ateles geoffroyi', 'howler monkey, howler', 'fountain', 'langur']
89065	['parachute, chute', 'stupa, tope', 'balloon', 'airship, dirigible', 'flagpole, flagstaff']
80330	['picket fence, paling', 'beacon, lighthouse, beacon light, pharos', 'boathouse', 'castle', 'barn', 'mobile home, manufactured home', 'church, church building']
90721	['wolf spider, hunting spider', 'cockroach, roach', 'obelisk', 'barn spider, Araneus cavaticus', 'window screen', 'street sign', 'plastic bag', 'rapeseed', 'flagpole, flagstaff', 'black widow, Latrodectus mactans']
87817	['spotlight, spot']
81814	['cab, hack, taxi, taxicab', 'traffic light, traffic signal, stoplight', 'fountain', 'car mirror', 'snowplow, snowplough']
82443	['aircraft carrier, carrier, flattop, attack aircraft carrier', 'maypole', 'airliner', 'seashore, coast, seacoast, sea-coast', 'solar dish, solar collector, solar furnace']
81741	['worm fence, snake fence, snake-rail fence, Virginia fence', 'lakeside, lakeshore', 'mountain tent', 'missile', 'parachute, chute', 'dam, dike, dyke', 'flagpole, flagstaff', 'volcano', 'television, television system', 'valley, vale', 'alp']
84716	['cinema, movie theater, movie theatre, movie house, picture palace', 'racer, race car, racing car', 'minivan', 'limousine, limo', 'pickup, pickup truck', 'moving van', 'flagpole, flagstaff', 'cab, hack, taxi, taxicab', 'trailer truck, tractor trailer, trucking rig, rig, articulated lorry, semi']
84306	['geyser', 'lakeside, lakeshore', 'beacon, lighthouse, beacon light, pharos', 'balloon', 'spotlight, spot', 'pole', 'parachute, chute', 'hay', 'traffic light, traffic signal, stoplight', 'rapeseed', 'flagpole, flagstaff', 'volcano', 'jellyfish']
84623	['spotlight, spot', 'sax, saxophone', 'bassoon', 'suspension bridge', 'bannister, banister, balustrade, balusters, handrail', 'grand piano, grand', 'harp']
84305	['picket fence, paling', 'church, church building', 'rapeseed', 'beacon, lighthouse, beacon light, pharos', 'barn']
84535	['obelisk', 'traffic light, traffic signal, stoplight', 'lakeside, lakeshore', 'pole', 'flagpole, flagstaff']
71167	['nematode, nematode worm, roundworm', 'digital clock']
84531	['rugby ball', 'airship, dirigible']
79601	['cliff, drop, drop-off', 'valley, vale', 'alp']
75934	['palace', 'church, church building']
86851	['ping-pong ball', 'nematode, nematode worm, roundworm', 'ladle', 'long-horned beetle, longicorn, longicorn beetle', 'digital clock', 'rhinoceros beetle', 'tennis ball', 'barn spider, Araneus cavaticus', 'golf ball', 'lacewing, lacewing fly', "jack-o'-lantern", 'black widow, Latrodectus mactans', 'matchstick', 'ground beetle, carabid beetle', 'jellyfish']
82907	['spotlight, spot', "jack-o'-lantern", 'matchstick', 'nematode, nematode worm, roundworm', 'digital clock']
89072	['volcano', 'valley, vale', 'lakeside, lakeshore', 'alp', 'promontory, headland, head, foreland']
73065	['valley, vale', 'cliff, drop, drop-off', 'dam, dike, dyke', 'alp', 'promontory, headland, head, foreland']
70847	['suspension bridge', 'spotlight, spot', 'traffic light, traffic signal, stoplight', 'solar dish, solar collector, solar furnace', 'parachute, chute', 'pole', 'flagpole, flagstaff']
86409	['monitor', 'shield, buckler', 'wok', 'breastplate, aegis, egis', 'spotlight, spot']
80930	['geyser', 'balloon', 'wing', 'pole', 'fountain', 'bubble', 'water snake', 'fireboat']
87138	['space shuttle', 'projectile, missile', 'drilling platform, offshore rig', 'missile']
86402	['hornbill', 'mixing bowl', 'croquet ball', 'dugong, Dugong dugon', 'kite', 'suspension bridge', 'Granny Smith', 'pool table, billiard table, snooker table', 'vulture', 'parachute, chute', 'zebra', 'spotlight, spot', 'television, television system', 'bubble', 'wing', 'bald eagle, American eagle, Haliaeetus leucocephalus']
90180	['geyser', 'golf ball', 'worm fence, snake fence, snake-rail fence, Virginia fence', 'hay', 'bison', 'rapeseed', 'valley, vale', 'alp', 'barn']
80830	['black grouse', 'megalith, megalithic structure', 'geyser', 'beacon, lighthouse, beacon light, pharos', 'impala, Aepyceros melampus', 'airship, dirigible', 'bustard', 'worm fence, snake fence, snake-rail fence, Virginia fence', 'Arctic fox, white fox, Alopex lagopus', 'radio telescope, radio reflector', 'zebra', 'prairie chicken, prairie grouse, prairie fowl', 'volcano', 'crane', 'valley, vale', 'water tower']
90768	['shield, buckler', 'Petri dish', 'ladle', 'golf ball', 'gong, tam-tam', 'wok', 'nematode, nematode worm, roundworm', 'joystick', 'frying pan, frypan, skillet', 'bubble', 'switch, electric switch, electrical switch']
91057	['notebook, notebook computer', 'toy poodle', 'cliff, drop, drop-off', 'Dandie Dinmont, Dandie Dinmont terrier', 'mouse, computer mouse', 'ski mask', 'laptop, laptop computer', 'jersey, T-shirt, tee shirt', 'Irish water spaniel', 'three-toed sloth, ai, Bradypus tridactylus', 'hammerhead, hammerhead shark', 'bow', 'pole', 'miniature poodle', 'Norwich terrier', 'Kerry blue terrier', 'flagpole, flagstaff', 'standard poodle', 'Norfolk terrier', 'cairn, cairn terrier', 'badger']
81121	['park bench', 'barn', 'water tower', 'picket fence, paling', 'church, church building']
84862	['fire engine, fire truck', 'trailer truck, tractor trailer, trucking rig, rig, articulated lorry, semi', 'car mirror', 'analog clock', 'limousine, limo', 'street sign', 'traffic light, traffic signal, stoplight', 'sea urchin', 'cab, hack, taxi, taxicab', 'tow truck, tow car, wrecker']
80125	['upright, upright piano', 'nematode, nematode worm, roundworm', 'pool table, billiard table, snooker table', "jack-o'-lantern", 'bannister, banister, balustrade, balusters, handrail', 'grand piano, grand', 'guillotine', 'digital clock']
83625	['parachute, chute', 'flagpole, flagstaff', 'warplane, military plane', 'kite', 'airship, dirigible']
81538	['vizsla, Hungarian pointer', 'Chesapeake Bay retriever', 'Irish water spaniel', 'Sussex spaniel', 'Irish setter, red setter']
88392	['geyser', 'forklift', 'airship, dirigible', 'wing', 'traffic light, traffic signal, stoplight', 'fountain', 'pay-phone, pay-station', 'crane', 'warplane, military plane', 'switch, electric switch, electrical switch']
90854	['consomme', 'coffee mug', 'ptarmigan', 'brambling, Fringilla montifringilla', 'golf ball', 'pitcher, ewer', 'centipede', 'perfume, essence', 'goldfinch, Carduelis carduelis', 'volcano', 'vase', 'wing', 'balloon']
83655	['hay', 'geyser', 'church, church building', 'rapeseed', 'barn']
89309	['mountain bike, all-terrain bike, off-roader', 'parachute, chute', 'car mirror', 'hook, claw', 'ostrich, Struthio camelus', 'bicycle-built-for-two, tandem bicycle, tandem', 'alp', 'worm fence, snake fence, snake-rail fence, Virginia fence', 'hay', 'pole', 'rapeseed', 'knot', "loupe, jeweler's loupe", 'bubble', 'unicycle, monocycle', 'harvester, reaper', 'zebra']
87034	['binder, ring-binder', 'monitor', 'book jacket, dust cover, dust jacket, dust wrapper', 'dishwasher, dish washer, dishwashing machine', 'iPod', 'cellular telephone, cellular phone, cellphone, cell, mobile phone', 'hand-held computer, hand-held microcomputer', 'cash machine, cash dispenser, automated teller machine, automatic teller machine, automated teller, automatic teller, ATM', 'lighter, light, igniter, ignitor', 'lampshade, lamp shade', 'screen, CRT screen', 'television, television system', 'modem', 'sliding door', 'projector']
87586	['platypus, duckbill, duckbilled platypus, duck-billed platypus, Ornithorhynchus anatinus', 'nematode, nematode worm, roundworm', 'monitor', 'leatherback turtle, leatherback, leathery turtle, Dermochelys coriacea', 'seashore, coast, seacoast, sea-coast', 'volcano', 'matchstick', 'digital clock']
90956	['geyser', 'nematode, nematode worm, roundworm', 'web site, website, internet site, site', 'parachute, chute', 'whistle', 'pole', 'fountain', 'fireboat', 'knot', 'coil, spiral, volute, whorl, helix', 'volcano', 'bubble', 'wing', 'shower curtain', 'jellyfish']
