filename	objects
84531_submitter_file1__IMG20170621093713.jpg	['rugby ball', 'airship, dirigible']
70350_submitter_file2__IMG20130417200045388.jpg	['sandbar, sand bar', 'boathouse', 'lakeside, lakeshore']
90890_submitter_file1__DSC01982.JPG	[]
88620_submitter_file2__016.JPG	['mobile home, manufactured home']
83174_submitter_file5__5.BlackObjectWithAlmondShapedLightHighlyEnlarged.jpg	['ant, emmet, pismire', 'black stork, Ciconia nigra', 'vulture', 'airship, dirigible', 'kite']
83463_submitter_file4__IMG15431.PNG	['tank, army tank, armored combat vehicle, armoured combat vehicle', 'half track', 'sax, saxophone', 'projectile, missile', 'missile']
81994_submitter_file2__UFOOriginalphotozoom1.png	['traffic light, traffic signal, stoplight', 'beacon, lighthouse, beacon light, pharos', 'mobile home, manufactured home', 'pole', 'spotlight, spot']
90659_submitter_file1__IMG0501.JPG	['bubble']
82365_submitter_file1__20170225203739.jpg	['space shuttle', 'volcano', 'balloon', 'seashore, coast, seacoast, sea-coast', 'spotlight, spot']
83174_submitter_file6__6.BlackObjectWithAlmondShapedLightEnhanced.jpg	['vulture', 'airship, dirigible', 'kite']
85356_submitter_file8__07241707542.jpg	['lycaenid, lycaenid butterfly']
87751_submitter_file1__IMG2269.JPG	['black grouse', 'Indian cobra, Naja naja', 'agama', 'kite', 'ptarmigan']
85356_submitter_file6__DSCN3129.JPG	['traffic light, traffic signal, stoplight', 'digital clock', 'tennis ball', 'spotlight, spot']
86832_submitter_file1__P1100300markedwitharrow.jpg	['parachute, chute', 'airship, dirigible']
87989_submitter_file1__1225010151330889182958633381353n.jpg	['cinema, movie theater, movie theatre, movie house, picture palace', 'spotlight, spot', 'scoreboard', 'torch', 'stage']
83394_submitter_file1__DSC4346.jpg	['file, file cabinet, filing cabinet', 'traffic light, traffic signal, stoplight', 'pole', 'airship, dirigible', 'wing']
79693_submitter_file1__FBIMG1475986792416.jpg	['street sign', 'pole', 'beacon, lighthouse, beacon light, pharos', 'seashore, coast, seacoast, sea-coast', 'lakeside, lakeshore']
81543_submitter_file3__IMG20170116001217.png	['platypus, duckbill, duckbilled platypus, duck-billed platypus, Ornithorhynchus anatinus', 'nematode, nematode worm, roundworm', 'jellyfish']
81412_submitter_file6__DSCN1511.jpg	['nematode, nematode worm, roundworm']
86655_submitter_file1__IMG20170907125432.jpg	['screen, CRT screen', 'envelope', 'window screen', 'packet', 'web site, website, internet site, site']
80958_submitter_file4__20161010044436614377.jpg	["jack-o'-lantern", 'digital clock', 'nematode, nematode worm, roundworm', 'matchstick', 'spotlight, spot']
76274_submitter_file6__PHOTO3CDETAILS.JPG	['hand-held computer, hand-held microcomputer', 'modem', 'cellular telephone, cellular phone, cellphone, cell, mobile phone', 'remote control, remote', 'oscilloscope, scope, cathode-ray oscilloscope, CRO']
89637_submitter_file1__zoom0.JPG	['lemon', 'gong, tam-tam', 'dough', 'cucumber, cuke', 'jellyfish']
84530_submitter_file5__Screenshot20170619211904.png	['syringe', 'pill bottle', 'tick', 'nematode, nematode worm, roundworm', 'pick, plectrum, plectron']
83148_submitter_file2__2.BlueCenteredTypeUFOMarked.jpg	['notebook, notebook computer', 'traffic light, traffic signal, stoplight', 'bubble', 'spotlight, spot']
79662_submitter_file1__IMG0043.JPG	['hay', 'stone wall', 'barn', 'rapeseed', 'plow, plough']
86138_submitter_file2__IMG1289.JPG	['spotlight, spot']
83679_submitter_file4__fullsizeoutput21a8.jpeg	['pole', 'traffic light, traffic signal, stoplight']
79982_submitter_file1__October202016.jpg	['matchstick', 'digital clock', 'nematode, nematode worm, roundworm', 'wing', 'spotlight, spot']
83522_submitter_file1__0503171629Burst01.jpg	['bubble', 'traffic light, traffic signal, stoplight', 'flagpole, flagstaff', 'fountain', 'spotlight, spot']
70490_submitter_file2__IMG20150914055948590.jpg	['parachute, chute', 'balloon', 'pool table, billiard table, snooker table', 'airship, dirigible', 'golf ball']
86146_submitter_file2__KIMG0436.JPG	['parachute, chute', 'volcano', 'balloon', 'spotlight, spot', 'jellyfish']
79861_submitter_file1__image.jpeg	['parachute, chute', 'hammerhead, hammerhead shark', 'great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias', 'tiger shark, Galeocerdo cuvieri', 'jellyfish']
87448_submitter_file1__IMG1012.JPG	['spiny lobster, langouste, rock lobster, crawfish, crayfish, sea crawfish', 'traffic light, traffic signal, stoplight', 'spotlight, spot', 'maypole', 'suspension bridge']
88518_submitter_file1__IMG20171201094421.jpg	['traffic light, traffic signal, stoplight', 'spotlight, spot']
73725_submitter_file5__jan72016ufopic1of3.jpg	["jack-o'-lantern", 'matchstick', 'nematode, nematode worm, roundworm', 'jellyfish', 'digital clock']
83364_submitter_file5__5..ReceiverTypeUFOHighlyEnlarged.jpg	['nematode, nematode worm, roundworm']
80981_submitter_file2__IMG8907.JPG	['dome']
81580_submitter_file8__image.png	['planetarium', 'television, television system', 'bubble', 'car mirror', 'spotlight, spot']
90293_submitter_file7__4copywitharrow.jpg	['sandbar, sand bar', 'wreck', 'breakwater, groin, groyne, mole, bulwark, seawall, jetty', 'seashore, coast, seacoast, sea-coast', 'promontory, headland, head, foreland']
70234_submitter_file2__IMG20150906193429248.jpg	['parachute, chute', 'bald eagle, American eagle, Haliaeetus leucocephalus', 'kite', 'airship, dirigible', 'flagpole, flagstaff']
71243_submitter_file1__Screenshot20151007185715.png	['screw', 'wardrobe, closet, press', 'wall clock', 'hook, claw', 'combination lock']
70599_submitter_file3__image.jpg	['abaya', 'pool table, billiard table, snooker table', 'trench coat', 'cloak', 'overskirt']
87550_submitter_file3__20171020164504.jpg	['geyser', 'fountain', 'shower curtain']
84660_submitter_file2__IMG0049.JPG	['nematode, nematode worm, roundworm', 'spotlight, spot', "jack-o'-lantern", 'matchstick', 'digital clock']
90788_submitter_file1__fullsizeoutput4248.jpeg	['parachute, chute', 'geyser', 'beacon, lighthouse, beacon light, pharos', 'airship, dirigible', 'flagpole, flagstaff']
85353_submitter_file2__IMG3909.JPG	['parachute, chute', 'vulture', 'airship, dirigible', 'white stork, Ciconia ciconia', 'bald eagle, American eagle, Haliaeetus leucocephalus']
86146_submitter_file3__KIMG0439.JPG	['volcano']
